PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,AÑO,MES,DPTO_HECHO,CANTIDAD
POMABAMBA,PAROBAMBA,21603,2024,1,ANCASH,2
LUYA,TRITA,10523,2019,5,AMAZONAS,1
LA CONVENCION,MARANURA,80904,2020,12,CUSCO,11
HUANCABAMBA,HUARMACA,200304,2025,8,PIURA,5
TUMBES,CORRALES,240102,2024,4,TUMBES,13
LIMA,RIMAC,150128,2024,10,LIMA METROPOLITANA,133
OXAPAMPA,PUERTO BERMUDEZ,190306,2020,6,PASCO,9
PISCO,INDEPENDENCIA,110504,2018,8,ICA,3
PACASMAYO,JEQUETEPEQUE,130703,2024,3,LA LIBERTAD,2
PASCO,NINACACA,190105,2023,9,PASCO,1
CHICLAYO,LAGUNAS,140107,2022,5,LAMBAYEQUE,12
CAJAMARCA,CAJAMARCA,60101,2018,4,CAJAMARCA,161
LA UNION,COTAHUASI,40801,2020,9,AREQUIPA,2
JAUJA,PARCO,120425,2019,6,JUNIN,1
NAZCA,NAZCA,110301,2019,11,ICA,50
BONGARA,JUMBILLA,10301,2020,11,AMAZONAS,3
FERREÑAFE,PITIPO,140205,2025,12,LAMBAYEQUE,7
CANAS,CHECCA,80502,2023,6,CUSCO,1
AYABACA,AYABACA,200201,2021,6,PIURA,5
LIMA,SAN BORJA,150130,2019,1,LIMA METROPOLITANA,58
CELENDIN,CELENDIN,60301,2018,4,CAJAMARCA,21
SATIPO,MAZAMARI,120604,2022,11,JUNIN,24
CAJAMARCA,NAMORA,60111,2024,5,CAJAMARCA,2
AREQUIPA,CHIGUATA,40106,2022,9,AREQUIPA,5
CALCA,LARES,80404,2020,3,CUSCO,3
LUCANAS,AUCARA,50602,2025,10,AYACUCHO,1
CAYLLOMA,MAJES,40520,2018,8,AREQUIPA,108
PACHITEA,CHAGLLA,100802,2025,12,HUANUCO,2
TARMA,ACOBAMBA,120702,2023,4,JUNIN,9
CHICLAYO,POMALCA,140118,2023,5,LAMBAYEQUE,17
SULLANA,IGNACIO ESCUDERO,200603,2022,7,PIURA,9
ANTABAMBA,HUAQUIRCA,30303,2024,4,APURIMAC,1
LIMA,PACHACAMAC,150123,2019,5,LIMA METROPOLITANA,104
CANGALLO,LOS MOROCHUCOS,50203,2025,12,AYACUCHO,4
JAUJA,JAUJA,120401,2022,5,JUNIN,19
CAJABAMBA,CAJABAMBA,60201,2022,11,CAJAMARCA,18
CELENDIN,HUASMIN,60304,2021,5,CAJAMARCA,3
HUARI,SAN MARCOS,21014,2023,12,ANCASH,13
CARAVELI,QUICACHA,40312,2021,2,AREQUIPA,1
AZANGARO,JOSE DOMINGO CHOQUEHUANCA,210207,2020,4,PUNO,2
ALTO AMAZONAS,YURIMAGUAS,160201,2023,7,LORETO,80
LAMAS,SHANAO,220509,2019,10,SAN MARTIN,2
HUAMANGA,JESUS NAZARENO,50115,2022,1,AYACUCHO,17
SUCRE,QUEROBAMBA,50901,2018,1,AYACUCHO,2
TOCACHE,NUEVO PROGRESO,221002,2019,1,SAN MARTIN,4
PASCO,TICLACAYAN,190110,2018,4,PASCO,1
YUNGAY,YUNGAY,22001,2025,9,ANCASH,25
PACASMAYO,SAN PEDRO DE LLOC,130701,2020,10,LA LIBERTAD,19
URUBAMBA,OLLANTAYTAMBO,81306,2021,4,CUSCO,8
HUAMANGA,ANDRES AVELINO CACERES,50116,2024,7,AYACUCHO,14
PISCO,TUPAC AMARU INCA,110508,2019,9,ICA,20
MORROPON,BUENOS AIRES,200402,2019,8,PIURA,8
PISCO,SAN ANDRES,110506,2023,4,ICA,37
TRUJILLO,TRUJILLO,130101,2025,10,LA LIBERTAD,186
ANDAHUAYLAS,SAN JERONIMO,30213,2018,10,APURIMAC,34
CANCHIS,PITUMARCA,80605,2021,8,CUSCO,5
OYON,OYON,150901,2022,5,REGION LIMA,4
CAYLLOMA,MADRIGAL,40513,2020,12,AREQUIPA,1
HUAMANGA,CHIARA,50105,2019,11,AYACUCHO,3
HUAMANGA,ACOCRO,50102,2019,10,AYACUCHO,5
PARURO,PACCARITAMBO,81007,2022,2,CUSCO,1
CHICLAYO,CHONGOYAPE,140102,2020,4,LAMBAYEQUE,11
BOLOGNESI,HUASTA,20509,2020,2,ANCASH,1
MARISCAL NIETO,SAMEGUA,180104,2023,12,MOQUEGUA,8
CHACHAPOYAS,CHACHAPOYAS,10101,2024,11,AMAZONAS,45
RIOJA,PARDO MIGUEL,220805,2023,8,SAN MARTIN,10
FERREÑAFE,MANUEL ANTONIO MESONES MURO,140204,2018,8,LAMBAYEQUE,2
CARHUAZ,ANTA,20604,2024,8,ANCASH,2
LIMA,LA MOLINA,150114,2022,7,LIMA METROPOLITANA,69
SANTA,CHIMBOTE,21801,2023,1,ANCASH,224
AREQUIPA,SANTA ISABEL DE SIGUAS,40120,2023,1,AREQUIPA,2
CHACHAPOYAS,QUINJALCA,10117,2018,7,AMAZONAS,1
CHEPEN,PACANGA,130402,2025,8,LA LIBERTAD,13
MARISCAL CACERES,HUICUNGO,220603,2024,9,SAN MARTIN,3
CAÑETE,CERRO AZUL,150504,2020,8,REGION LIMA,3
HUANCAYO,HUANCAYO,120101,2020,6,JUNIN,132
RODRIGUEZ DE MENDOZA,OMIA,10609,2021,8,AMAZONAS,5
LIMA,SAN MIGUEL,150136,2023,12,LIMA METROPOLITANA,95
PAUCARTAMBO,COLQUEPATA,81104,2024,6,CUSCO,1
PUNO,ACORA,210102,2021,3,PUNO,4
GRAU,SAN ANTONIO,30709,2020,8,APURIMAC,1
LAMAS,PINTO RECODO,220506,2021,12,SAN MARTIN,3
BAGUA,BAGUA,10201,2021,2,AMAZONAS,22
OXAPAMPA,VILLA RICA,190307,2022,2,PASCO,12
HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,200306,2020,8,PIURA,3
CHICLAYO,REQUE,140113,2020,2,LAMBAYEQUE,2
MARISCAL LUZURIAGA,PISCOBAMBA,21301,2023,5,ANCASH,6
JAUJA,ACOLLA,120402,2020,11,JUNIN,5
PUERTO INCA,PUERTO INCA,100901,2021,4,HUANUCO,10
BOLOGNESI,COLQUIOC,20507,2020,6,ANCASH,2
ANTA,MOLLEPATA,80307,2021,3,CUSCO,1
CHICLAYO,SANTA ROSA,140114,2023,2,LAMBAYEQUE,2
