DPTO_HECHO,AÑO,CANTIDAD,VARIACION_%
TUMBES,2025,12336,-44.51990105689229
ICA,2025,58051,-45.168176365576976
LAMBAYEQUE,2025,68869,-45.62043507442063
REGION LIMA,2025,49462,-47.5399056053455
LIMA METROPOLITANA,2025,507153,-47.566561073248195
PROV. CONST. DEL CALLAO,2025,61331,-48.49986144816062
CUSCO,2025,74406,-50.11732210616645
APURIMAC,2025,26032,-50.93393648101028
AYACUCHO,2025,28376,-51.113791024205355
PASCO,2025,6571,-51.56987028301887
JUNIN,2025,57255,-51.659884162712544
TACNA,2025,20294,-51.810604801367745
HUANUCO,2025,28600,-52.30869282462606
LORETO,2025,24422,-52.63474331374489
PIURA,2025,61921,-53.78650486233945
LA LIBERTAD,2025,56662,-53.97150330620136
HUANCAVELICA,2025,7467,-54.5664739884393
SAN MARTIN,2025,32366,-54.577222651042035
ANCASH,2025,52449,-54.927943489133526
AREQUIPA,2025,94956,-54.93051336573511
CAJAMARCA,2025,37268,-55.51948439458136
AMAZONAS,2025,14183,-56.50720637841153
MADRE DE DIOS,2025,9313,-59.83525251218356
PUNO,2025,28355,-60.581922317680096
MOQUEGUA,2025,10623,-60.835422504055444
UCAYALI,2025,11906,-61.469255663430424
